banana,191, 1
chic_t, 177, 100
rice_w, 242, 186
rice_b, 248, 202
oats_q, 150, 40
maple, 260, 100
sugar_b, 380, 100
chex_r, 160, 40
chex_c, 150, 40
egg, 60, 1
mayo, 90, 13
cottage_4, 110, 113
mooala_v, 60, 1
almndb_b, 80, 1
bcn, 60, 1
masa, 100, 1
quinoa, 120, 100
pb,190, 32
